"","x"
"581","PF01165.24"
"582","PF01168.24"
"583","PF01169.23"
"584","PF01170.22"
"585","PF01171.24"
"586","PF01174.23"
"587","PF01175.22"
"588","PF01176.23"
"589","PF01177.26"
"590","PF01180.25"
"591","PF01182.24"
"592","PF01183.24"
"593","PF01187.22"
"594","PF01189.21"
"595","PF01192.26"
"596","PF01193.28"
"597","PF01195.23"
"598","PF01196.23"
"599","PF01197.22"
"600","PF01202.26"
"601","PF01203.23"
"602","PF01206.21"
"603","PF01207.21"
"604","PF01208.21"
"605","PF01209.22"
"606","PF01210.27"
"607","PF01212.25"
"608","PF01218.22"
"609","PF01219.23"
"610","PF01220.23"
"611","PF01223.27"
"612","PF01225.29"
"613","PF01227.26"
"614","PF01230.27"
"615","PF01231.22"
"616","PF01232.27"
"617","PF01235.21"
"618","PF01239.26"
"619","PF01241.22"
"620","PF01242.23"
"621","PF01243.24"
"622","PF01244.25"
"623","PF01245.24"
"624","PF01250.21"
"625","PF01252.22"
"626","PF01253.26"
"627","PF01255.23"
"628","PF01256.21"
"629","PF01257.23"
"630","PF01258.21"
"631","PF01259.22"
"632","PF01261.28"
"633","PF01262.25"
"634","PF01263.24"
"635","PF01264.25"
"636","PF01266.28"
"637","PF01268.23"
"638","PF01272.23"
"639","PF01274.26"
"640","PF01276.24"
"641","PF01281.23"
"642","PF01288.24"
"643","PF01292.24"
"644","PF01293.24"
"645","PF01297.21"
"646","PF01300.22"
"647","PF01306.23"
"648","PF01311.24"
"649","PF01312.23"
"650","PF01313.23"
"651","PF01314.22"
"652","PF01315.26"
"653","PF01316.25"
"654","PF01321.22"
"655","PF01322.24"
"656","PF01323.24"
"657","PF01325.23"
"658","PF01326.23"
"659","PF01327.25"
"660","PF01329.23"
"661","PF01330.25"
"662","PF01333.23"
"663","PF01336.29"
"664","PF01337.22"
"665","PF01339.21"
"666","PF01343.22"
"667","PF01344.29"
"668","PF01345.22"
"669","PF01346.22"
"670","PF01351.22"
"671","PF01355.21"
"672","PF01361.25"
"673","PF01364.22"
"674","PF01367.24"
"675","PF01368.24"
"676","PF01370.25"
"677","PF01379.24"
"678","PF01380.26"
"679","PF01381.26"
"680","PF01383.25"
"681","PF01384.24"
"682","PF01385.23"
"683","PF01386.23"
"684","PF01389.21"
"685","PF01391.22"
"686","PF01396.23"
"687","PF01401.22"
"688","PF01402.25"
"689","PF01406.23"
"690","PF01408.26"
"691","PF01409.24"
"692","PF01411.23"
"693","PF01416.24"
"694","PF01418.21"
"695","PF01420.23"
"696","PF01424.26"
"697","PF01425.25"
"698","PF01427.21"
"699","PF01430.23"
"700","PF01431.25"
"701","PF01432.24"
"702","PF01433.24"
"703","PF01434.22"
"704","PF01435.22"
"705","PF01436.25"
"706","PF01443.22"
"707","PF01450.23"
"708","PF01451.25"
"709","PF01455.22"
"710","PF01458.21"
"711","PF01464.24"
"712","PF01467.30"
"713","PF01470.21"
"714","PF01471.22"
"715","PF01472.24"
"716","PF01474.20"
"717","PF01475.23"
"718","PF01476.24"
"719","PF01478.22"
"720","PF01479.29"
"721","PF01483.24"
"722","PF01487.19"
"723","PF01488.24"
"724","PF01491.20"
"725","PF01493.23"
"726","PF01494.23"
"727","PF01497.22"
"728","PF01502.22"
"729","PF01503.21"
"730","PF01507.23"
"731","PF01509.22"
"732","PF01510.29"
"733","PF01512.21"
"734","PF01513.25"
"735","PF01514.21"
"736","PF01515.23"
"737","PF01520.22"
"738","PF01521.24"
"739","PF01522.25"
"740","PF01523.20"
"741","PF01527.24"
"742","PF01531.20"
